  Course   CHEF         WAITER       ST1        ST2        ST3        ST4        ST5        ST6        ST7
     0      WFO          ATS         GTR        GTR        GTR        GTR        GTR        GTR        GTR
     0      WFO          ATS         GTR        GTR        GTR        GTR        GTR        TST        GTR
     0      WFO          PTM         GTR        GTR        GTR        GTR        GTR        TST        GTR
     0      WFO          PTM         GTR        GTR        GTR        GTR        GTR        STC        GTR
     0      WFO          ATS         GTR        GTR        GTR        GTR        GTR        STC        GTR
     0      WFO          ATS         GTR        TST        GTR        GTR        GTR        STC        GTR
     0      WFO          ATS         GTR        TST        GTR        GTR        GTR        STC        TST
     0      WFO          PTM         GTR        TST        GTR        GTR        GTR        STC        TST
     0      WFO          PTM         GTR        TST        TST        GTR        GTR        STC        TST
     0      WFO          PTM         GTR        TST        TST        TST        GTR        STC        TST
     0      WFO          PTM         GTR        STC        TST        TST        GTR        STC        TST
     0      WFO          ATS         GTR        STC        TST        TST        GTR        STC        TST
     0      WFO          ATS         GTR        STC        TST        TST        TST        STC        TST
     0      WFO          ATS         GTR        CWC        TST        TST        TST        STC        TST
     0      WFO          ATS         GTR        CWC        TST        TST        TST        OTO        TST
     0      WFO          ATS         TST        CWC        TST        TST        TST        OTO        TST
     0      WFO          PTM         TST        CWC        TST        TST        TST        OTO        TST
     0      WFO          PTM         TST        CWC        TST        TST        TST        OTO        STC
     0      WFO          ATS         TST        CWC        TST        TST        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        TST        TST        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        STC        TST        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        TST        TST        OTO        CWC
     0      WFO          ATS         TST        CWC        CWC        TST        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        TST        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        STC        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        CWC        TST        OTO        CWC
     0      WFO          ATS         TST        CWC        CWC        CWC        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        CWC        TST        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        CWC        STC        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        CWC        CWC        OTO        CWC
     0      WFO          ATS         TST        CWC        CWC        CWC        CWC        OTO        CWC
     0      WFO          PTM         TST        CWC        CWC        CWC        CWC        OTO        CWC
     0      WFO          PTM         STC        CWC        CWC        CWC        CWC        OTO        CWC
     0      WFO          ATS         CWC        CWC        CWC        CWC        CWC        OTO        CWC
     0      WFO          TTO         CWC        CWC        CWC        CWC        CWC        OTO        CWC
     0      WFO          PTO         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     0      PTC          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      PTC          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        ETM        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        ETM        CWC        CWC        CWC        ETM        CWC
     1      DIP          WFP         ETM        ETM        CWC        CWC        CWC        ETM        CWC
     1      DIP          ATS         ETM        ETM        CWC        CWC        CWC        ETM        CWC
     1      DIP          ATS         ETM        ETM        CWC        CWC        ETM        ETM        CWC
     1      DIP          ATS         ETM        ETM        CWC        ETM        ETM        ETM        CWC
     1      DIP          ATS         ETM        ETM        ETM        ETM        ETM        ETM        CWC
     1      DIP          ATS         ETM        ETM        ETM        ETM        ETM        ETM        ETM
     1      DIP          ATS         ETM        CWC        ETM        ETM        ETM        ETM        ETM
     1      DIP          ATS         ETM        CWC        ETM        ETM        ETM        CWC        ETM
     1      DIP          ATS         CWC        CWC        ETM        ETM        ETM        CWC        ETM
